# Trinity PE 2949 AOB / offset manifest
# generated by tools/audit/pe2949_audit.py from the current source tree
# format: <file>:<line>:<kind>	<symbol>	<pattern|value>

src/game/offsets.h:1314:sig	kSig_FieldTimeRealm	BA ?? 01 00 00 48 8B 08 0F B6 04 0A 84 C0 74 0A C5 FC 10 05 ?? ?? ?? ?? EB 08 C5 FC 10 05 ?? ?? ?? ??
src/game/offsets.h:1319:offset	kOff_FieldTime_ServerVmovups	0x10
src/game/offsets.h:1320:offset	kOff_FieldTime_ClientVmovups	0x1A
src/game/offsets.h:1323:offset	kOff_FieldTime_Day	0x00
src/game/offsets.h:1324:offset	kOff_FieldTime_Hour	0x04
src/game/offsets.h:1325:offset	kOff_FieldTime_Min	0x08
src/game/offsets.h:1326:offset	kOff_FieldTime_Sec	0x0C
src/game/offsets.h:1347:sig	kSig_FieldTimeTick	48 89 5C 24 08 48 89 74 24 10 48 89 7C 24 18 4C 89 64 24 20 55 41 56 41 57 48 8B EC 48 83 EC 70 48 8B F9 C5 F2 58 41 2C
src/game/offsets.h:1350:sig	kSig_FieldTimeTick_Pre201	48 89 5C 24 ?? 48 89 74 24 ?? 48 89 7C 24 ?? 55 41 56 41 57 48 8B EC 48 83 EC 70 48 8B F9 C5 F2 58 41 2C
src/game/offsets.h:1384:sig	kSig_TodEngineGlobal	83 3D ?? ?? ?? ?? FF 75 ?? 48 89 1D ?? ?? ?? ?? 48 89 3D ?? ?? ?? ?? 44 89
src/game/offsets.h:1387:offset	kOff_TodEngineGlobal_Mov	9
src/game/offsets.h:1389:offset	kOff_Tod_Manager	0x2F8
src/game/offsets.h:1390:offset	kOff_Tod_CurrentHour	0x3D0
src/game/offsets.h:1391:offset	kOff_Tod_LowerLimit	0x3D4
src/game/offsets.h:1392:offset	kOff_Tod_UpperLimit	0x3D8
src/game/offsets.h:1396:sig	kSig_WeatherRain	48 8B 51 ?? 4C 8B D1 48 85 D2 B9 40 00 00 00 48 8D 42 18 48 0F 44 C1 41 80 7A 31 00 4C 8B 08 4D 8D 81 6C 01 00 00
src/game/offsets.h:1399:sig	kSig_WeatherSnow	48 8B 51 ?? 4C 8B D1 48 85 D2 B9 40 00 00 00 48 8D 42 18 48 0F 44 C1 41 80 7A 31 00 4C 8B 08 4D 8D 81 68 01 00 00
src/game/offsets.h:1402:sig	kSig_WeatherDust	48 8B 41 ?? 41 B8 40 00 00 00 48 85 C0 41 B9 60 01 00 00 48 8D 50 18 B8 CC 01 00 00 49 0F 44 D0
src/game/offsets.h:1407:sig	kSig_WindPack	48 89 5C 24 08 57 48 83 EC 20 48 8B 01 48 8B D9 48 85 C0 48 8B FA B9 40 00 00 00 4C 8D 40 18 4C 0F 44 C1
src/game/offsets.h:1409:sig	kSig_WindPack_Pre201	48 89 5C 24 08 57 48 83 EC 30 48 8B 01 48 8B D9 48 85 C0 48 8B FA B9 40 00 00 00 4C 8D 40 18 4C 0F 44 C1
src/game/offsets.h:1413:sig	kSig_EnvManager	48 8B 0D ?? ?? ?? ?? 48 8B 01 FF 50 60 C5 78 2F C7 72 ?? 48 8B 88 E0 0E 00 00 E8 62
src/game/offsets.h:1416:sig	kSig_EnvManager_Legacy	48 8B 0D ?? ?? ?? ?? 48 8B 01 FF 50 40 48 8B D7 48 8B 88 E0 0E 00 00
src/game/offsets.h:1418:offset	kOff_EnvManager_Mov	3
src/game/offsets.h:1535:offset	kOff_Sub_EquipComp	0x38
src/game/offsets.h:1536:offset	kOff_EquipComp_Owner	0x08
src/game/offsets.h:1545:sig	kSig_EquipBatch	48 89 5C 24 10 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 ? ? ? ? B8 ? ? ? ? E8 ? ? ? ? 48 2B E0 4D 8B E0 4C 8B EA 4C 8B F1 4C 8B 79 08
src/game/offsets.h:1551:sig	kSig_EquipBatch_Legacy	48 89 5C 24 10 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 ? ? ? ? B8 ? ? ? ? E8 ? ? ? ? 48 2B E0 4D 8B F8 4C 8B E2 4C 8B F1 4C 8B 69 08
src/game/offsets.h:1564:sig	kSig_DyeApplySlot	48 83 EC 30 41 0F B7 D9 48 8B FA 48 8B E9 48 8B 41 08 48 8D 50 08 45 33 FF
src/game/offsets.h:1571:sig	kSig_DyeApplyBatch	48 89 5C 24 18 48 89 54 24 10 55 56 57 41 54 41 55 41 56 41 57 48 83 EC 50 4D 8B E0 48 8B F2 4C 8B F1
src/game/offsets.h:1576:sig	kSig_DyeApplyBatch_Legacy	48 89 5C 24 ? 48 89 54 24 ? 55 56 57 41 54 41 55 41 56 41 57 48 8D 6C 24 ? 48 81 EC 20 01 00 00 4D 8B E0 48 8B F2
src/game/offsets.h:1586:sig	kSig_DyeUpsert	48 8B 41 78 4C 8B D1 44 8B 81 80 00 00 00 49 C1 E0 04
src/game/offsets.h:1590:sig	kSig_DyeUpsert_Legacy	48 8B 41 ? 4C 8B D1 44 8B 41 ? 49 C1 E0 04
src/game/offsets.h:1622:sig	kSig_DyeVisualSet	48 89 5C 24 18 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 10 FF FF FF 48 81 EC F0 01 00 00 45 0F B7 F1 49 8B F0 48 8B FA
src/game/offsets.h:1631:sig	kSig_DyeVisualClear	48 89 5C 24 18 44 88 4C 24 20 55 56 57 41 54 41 55 41 56 41 57 48 8B EC 48 81 EC 80 00 00 00 45 0F B7 F0 48 8B FA 48 8B F1
src/game/offsets.h:1638:sig	kSig_DyeRecordRemove	44 8B 91 80 00 00 00 33 C0 4C 8B D9 45 85 D2 0F 84
src/game/offsets.h:1643:offset	kOff_EquipComp_Table	0x80
src/game/offsets.h:1644:offset	kOff_EquipTable_Array	0x08
src/game/offsets.h:1645:offset	kOff_EquipTable_Count	0x10
